Date,Crop,Variety,Grade,High Price,Low Price,Average,Type
10/28/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
10/29/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
10/30/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/02/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/03/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/04/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/05/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/06/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/09/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/10/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/12/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/13/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/16/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/17/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/18/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/19/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/20/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/23/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/24/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/25/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/27/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
11/30/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
12/01/2020,almonds,PEERLESS,N/A,2.54,2.1,2.3200000000000003,Nonorganic
12/02/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/03/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/04/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/07/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/08/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/09/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/10/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/11/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/14/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/15/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/16/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/17/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/18/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/21/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/22/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/23/2020,almonds,PEERLESS,N/A,2.54,2.1,2.31,Nonorganic
12/28/2020,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
12/29/2020,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
12/30/2020,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
12/31/2020,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/04/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/05/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/06/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/07/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/08/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/11/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/12/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/13/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/14/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/15/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
01/19/2021,almonds,PEERLESS,N/A,2.5,2.1,2.3,Nonorganic
08/09/2018,almonds,PEERLESS,N/A,1.2473805009480092,0.8164672369841516,1.0319238689660803,Nonorganic
08/10/2018,almonds,PEERLESS,N/A,1.2473805009480092,0.8164672369841516,1.0319238689660803,Nonorganic
10/30/2017,almonds,PEERLESS,N/A,2.6,1.2473805009480092,1.8486902504740046,Nonorganic
10/31/2017,almonds,PEERLESS,N/A,2.6,1.2473805009480092,1.8486902504740046,Nonorganic
11/01/2017,almonds,PEERLESS,N/A,2.6,1.2473805009480092,1.8486902504740046,Nonorganic
11/02/2017,almonds,PEERLESS,N/A,2.6,1.2473805009480092,1.8486902504740046,Nonorganic
11/03/2017,almonds,PEERLESS,N/A,2.6,1.2473805009480092,1.8486902504740046,Nonorganic
11/06/2017,almonds,PEERLESS,N/A,2.6,1.2473805009480092,1.8486902504740046,Nonorganic
11/07/2017,almonds,PEERLESS,N/A,2.6,1.2473805009480092,1.8486902504740046,Nonorganic
11/08/2017,almonds,PEERLESS,N/A,2.7,1.2473805009480092,2.13246016698267,Nonorganic
11/09/2017,almonds,PEERLESS,N/A,2.7,1.2473805009480092,2.13246016698267,Nonorganic
11/13/2017,almonds,PEERLESS,N/A,2.7,1.2473805009480092,2.13246016698267,Nonorganic
11/14/2017,almonds,PEERLESS,N/A,2.7,1.2473805009480092,2.13246016698267,Nonorganic
11/15/2017,almonds,PEERLESS,N/A,2.7,1.2473805009480092,2.1157935003160033,Nonorganic
11/16/2017,almonds,PEERLESS,N/A,2.7,1.2473805009480092,2.1157935003160033,Nonorganic
11/17/2017,almonds,PEERLESS,N/A,2.7,1.2473805009480092,2.1157935003160033,Nonorganic
