Date,Crop,Variety,Grade,High Price,Low Price,Average,Type
06/04/2021,grapes,PERLETTE,N/A,1.875,1.8125,1.84375,Nonorganic
06/09/2021,grapes,PERLETTE,N/A,1.8888888888888888,1.7777777777777777,1.8333333333333333,Nonorganic
06/10/2021,grapes,PERLETTE,N/A,1.8888888888888888,1.7777777777777777,1.8333333333333333,Nonorganic
06/11/2021,grapes,PERLETTE,N/A,1.8888888888888888,1.5555555555555556,1.6944444444444444,Nonorganic
06/14/2021,grapes,PERLETTE,N/A,1.8888888888888888,1.5555555555555556,1.6944444444444444,Nonorganic
06/15/2021,grapes,PERLETTE,N/A,1.7777777777777777,1.6111111111111112,1.6944444444444444,Nonorganic
06/16/2021,grapes,PERLETTE,N/A,1.7777777777777777,1.6111111111111112,1.6944444444444444,Nonorganic
06/17/2021,grapes,PERLETTE,N/A,1.7777777777777777,1.6111111111111112,1.6944444444444444,Nonorganic
03/30/2021,grapes,THOMPSON SEEDLESS,N/A,2.0555555555555554,2.0555555555555554,2.0555555555555554,Nonorganic
03/31/2021,grapes,THOMPSON SEEDLESS,N/A,2.0555555555555554,2.0555555555555554,2.0555555555555554,Nonorganic
04/01/2021,grapes,THOMPSON SEEDLESS,N/A,2.0555555555555554,1.8888888888888888,1.972222222222222,Nonorganic
04/02/2021,grapes,THOMPSON SEEDLESS,N/A,2.0555555555555554,1.8888888888888888,1.972222222222222,Nonorganic
04/05/2021,grapes,THOMPSON SEEDLESS,N/A,2.0555555555555554,1.6111111111111112,1.8518518518518519,Nonorganic
04/06/2021,grapes,THOMPSON SEEDLESS,N/A,2.0555555555555554,1.6111111111111112,1.847222222222222,Nonorganic
04/07/2021,grapes,THOMPSON SEEDLESS,N/A,2.0555555555555554,1.6111111111111112,1.8333333333333333,Nonorganic
04/08/2021,grapes,THOMPSON SEEDLESS,N/A,2.0555555555555554,1.6111111111111112,1.8333333333333333,Nonorganic
04/09/2021,grapes,THOMPSON SEEDLESS,N/A,2.0555555555555554,1.3888888888888888,1.75,Nonorganic
04/12/2021,grapes,THOMPSON SEEDLESS,N/A,2.3333333333333335,2.2222222222222223,2.2777777777777777,Nonorganic
04/13/2021,grapes,THOMPSON SEEDLESS,N/A,2.3333333333333335,2.2222222222222223,2.2777777777777777,Nonorganic
04/14/2021,grapes,THOMPSON SEEDLESS,N/A,2.3333333333333335,2.2222222222222223,2.2777777777777777,Nonorganic
04/15/2021,grapes,THOMPSON SEEDLESS,N/A,2.3333333333333335,2.2222222222222223,2.2777777777777777,Nonorganic
04/16/2021,grapes,THOMPSON SEEDLESS,N/A,2.3333333333333335,2.2222222222222223,2.2777777777777777,Nonorganic
04/19/2021,grapes,THOMPSON SEEDLESS,N/A,2.3333333333333335,2.2222222222222223,2.2777777777777777,Nonorganic
04/20/2021,grapes,THOMPSON SEEDLESS,N/A,2.3333333333333335,2.2222222222222223,2.2777777777777777,Nonorganic
04/21/2021,grapes,THOMPSON SEEDLESS,N/A,2.3333333333333335,2.2222222222222223,2.2777777777777777,Nonorganic
04/22/2021,grapes,THOMPSON SEEDLESS,N/A,2.3333333333333335,2.2222222222222223,2.2777777777777777,Nonorganic
05/03/2021,grapes,THOMPSON SEEDLESS,N/A,2.4444444444444446,2.388888888888889,2.416666666666667,Nonorganic
05/04/2021,grapes,THOMPSON SEEDLESS,N/A,2.4444444444444446,2.388888888888889,2.416666666666667,Nonorganic
01/07/2021,grapes,THOMPSON SEEDLESS,N/A,1.410563315927904,1.410563315927904,1.410563315927904,Nonorganic
01/08/2021,grapes,THOMPSON SEEDLESS,N/A,1.410563315927904,1.410563315927904,1.410563315927904,Nonorganic
01/11/2021,grapes,THOMPSON SEEDLESS,N/A,1.4935376286295456,1.410563315927904,1.4520504722787249,Nonorganic
