Date,Crop,Variety,Grade,High Price,Low Price,Average,Type
06/17/2021,Tomatoes,MATURE GREENS,N/A,0.96,0.56,0.796,Nonorganic
06/18/2021,Tomatoes,MATURE GREENS,N/A,0.96,0.56,0.796,Nonorganic
06/21/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.56,0.8109090909090909,Nonorganic
06/22/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.48,0.7616666666666667,Nonorganic
06/23/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.48,0.7616666666666667,Nonorganic
06/24/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.48,0.7616666666666667,Nonorganic
06/25/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.48,0.7616666666666667,Nonorganic
06/28/2021,Tomatoes,MATURE GREENS,N/A,0.88,0.48,0.7345454545454547,Nonorganic
06/29/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.48,0.7503846153846153,Nonorganic
06/30/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.48,0.7519230769230769,Nonorganic
07/01/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.48,0.7519230769230768,Nonorganic
07/02/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.36,0.7303846153846153,Nonorganic
07/06/2021,Tomatoes,MATURE GREENS,N/A,0.84,0.36,0.6815384615384616,Nonorganic
07/07/2021,Tomatoes,MATURE GREENS,N/A,0.84,0.36,0.6885714285714286,Nonorganic
07/08/2021,Tomatoes,MATURE GREENS,N/A,0.84,0.36,0.6914285714285714,Nonorganic
07/09/2021,Tomatoes,MATURE GREENS,N/A,0.84,0.36,0.7124999999999999,Nonorganic
07/12/2021,Tomatoes,MATURE GREENS,N/A,0.84,0.36,0.7000000000000001,Nonorganic
07/13/2021,Tomatoes,MATURE GREENS,N/A,0.84,0.36,0.6786666666666668,Nonorganic
07/14/2021,Tomatoes,MATURE GREENS,N/A,0.88,0.36,0.6893333333333332,Nonorganic
07/15/2021,Tomatoes,MATURE GREENS,N/A,0.88,0.36,0.6893333333333332,Nonorganic
07/16/2021,Tomatoes,MATURE GREENS,N/A,0.96,0.4,0.7319999999999999,Nonorganic
07/19/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.4,0.7447058823529411,Nonorganic
07/20/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.4,0.758888888888889,Nonorganic
07/21/2021,Tomatoes,MATURE GREENS,N/A,0.92,0.4,0.758888888888889,Nonorganic
07/22/2021,Tomatoes,MATURE GREENS,N/A,0.96,0.4,0.7770000000000002,Nonorganic
07/23/2021,Tomatoes,MATURE GREENS,N/A,0.96,0.4,0.7637499999999999,Nonorganic
07/26/2021,Tomatoes,MATURE GREENS,N/A,1.04,0.4,0.7893749999999999,Nonorganic
07/27/2021,Tomatoes,MATURE GREENS,N/A,1.04,0.44,0.8366666666666667,Nonorganic
07/28/2021,Tomatoes,MATURE GREENS,N/A,1.04,0.44,0.848571428571429,Nonorganic
07/29/2021,Tomatoes,MATURE GREENS,N/A,1.04,0.44,0.8565000000000002,Nonorganic
07/30/2021,Tomatoes,MATURE GREENS,N/A,1.04,0.44,0.8585,Nonorganic
08/02/2021,Tomatoes,MATURE GREENS,N/A,1.04,0.44,0.8488235294117645,Nonorganic
