Date,Crop,Variety,Grade,High Price,Low Price,Average,Type
07/09/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,1.25,1.2708333333333333,Nonorganic
07/10/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,0.625,1.0442708333333335,Nonorganic
07/11/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,0.625,1.0148809523809523,Nonorganic
07/12/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,0.625,1.0324074074074074,Nonorganic
07/15/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,0.6666666666666666,1.0486111111111114,Nonorganic
07/16/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,0.6666666666666666,1.0486111111111114,Nonorganic
07/17/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,0.6666666666666666,1.050925925925926,Nonorganic
07/18/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,0.6666666666666666,0.967013888888889,Nonorganic
07/19/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,0.6666666666666666,0.967013888888889,Nonorganic
09/18/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,1.25,1.2916666666666665,Nonorganic
09/19/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,1.25,1.2916666666666665,Nonorganic
09/20/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,1.25,1.2916666666666665,Nonorganic
09/23/2013,apricots,BRITTANY GOLD,N/A,1.4166666666666667,1.3333333333333333,1.375,Nonorganic
09/24/2013,apricots,BRITTANY GOLD,N/A,1.4166666666666667,1.3333333333333333,1.375,Nonorganic
09/25/2013,apricots,BRITTANY GOLD,N/A,1.4166666666666667,1.3333333333333333,1.375,Nonorganic
09/30/2013,apricots,BRITTANY GOLD,N/A,1.3333333333333333,1.3333333333333333,1.3333333333333333,Nonorganic
05/28/2013,apricots,HONEYCOT,N/A,1.4166666666666667,1.125,1.2604166666666667,Nonorganic
05/29/2013,apricots,HONEYCOT,N/A,1.3333333333333333,1.125,1.2291666666666665,Nonorganic
05/30/2013,apricots,HONEYCOT,N/A,1.3333333333333333,1.0416666666666667,1.1805555555555556,Nonorganic
05/31/2013,apricots,HONEYCOT,N/A,1.3333333333333333,1.0,1.1736111111111114,Nonorganic
06/03/2013,apricots,HONEYCOT,N/A,1.25,1.0,1.1736111111111112,Nonorganic
06/04/2013,apricots,HONEYCOT,N/A,1.25,1.0,1.1736111111111112,Nonorganic
06/05/2013,apricots,HONEYCOT,N/A,1.25,1.0,1.1458333333333333,Nonorganic
06/13/2013,apricots,JUMPIN JACK,N/A,1.3333333333333333,1.2916666666666667,1.3125,Nonorganic
06/14/2013,apricots,JUMPIN JACK,N/A,1.1666666666666667,1.125,1.1458333333333335,Nonorganic
06/17/2013,apricots,JUMPIN JACK,N/A,1.1666666666666667,1.125,1.1458333333333335,Nonorganic
06/18/2013,apricots,JUMPIN JACK,N/A,1.1666666666666667,1.125,1.1458333333333335,Nonorganic
06/19/2013,apricots,JUMPIN JACK,N/A,1.1666666666666667,1.125,1.1458333333333335,Nonorganic
07/08/2013,apricots,PATTERSON,N/A,1.44,0.4166666666666667,0.9256666666666666,Nonorganic
06/07/2013,apricots,POPPYCOT,N/A,1.3333333333333333,0.6666666666666666,1.1166666666666667,Nonorganic
06/06/2013,apricots,POPPYCOT,N/A,1.25,0.6666666666666666,1.0520833333333335,Nonorganic
06/13/2013,apricots,PROPRIETARY VARIETIES,N/A,1.4166666666666667,0.75,1.0486111111111112,Nonorganic
06/14/2013,apricots,PROPRIETARY VARIETIES,N/A,1.4166666666666667,0.75,1.0486111111111112,Nonorganic
06/17/2013,apricots,PROPRIETARY VARIETIES,N/A,1.1666666666666667,1.1111111111111112,1.1388888888888888,Nonorganic
06/18/2013,apricots,PROPRIETARY VARIETIES,N/A,1.1666666666666667,1.1111111111111112,1.1388888888888888,Nonorganic
06/19/2013,apricots,PROPRIETARY VARIETIES,N/A,1.25,0.8333333333333334,1.0638888888888889,Nonorganic
06/12/2013,apricots,PROPRIETARY VARIETIES,N/A,1.4166666666666667,0.9166666666666666,1.1944444444444444,Nonorganic
08/21/2013,apricots,PROPRIETARY VARIETIES,N/A,1.375,1.375,1.375,Nonorganic
08/23/2013,apricots,PROPRIETARY VARIETIES,N/A,1.375,1.375,1.375,Nonorganic
08/26/2013,apricots,PROPRIETARY VARIETIES,N/A,1.375,1.25,1.3125,Nonorganic
08/27/2013,apricots,PROPRIETARY VARIETIES,N/A,1.375,1.25,1.3125,Nonorganic
08/28/2013,apricots,PROPRIETARY VARIETIES,N/A,1.3333333333333333,1.25,1.2916666666666665,Nonorganic
08/29/2013,apricots,PROPRIETARY VARIETIES,N/A,1.3333333333333333,1.25,1.2916666666666665,Nonorganic
08/30/2013,apricots,PROPRIETARY VARIETIES,N/A,1.3333333333333333,1.25,1.2916666666666665,Nonorganic
09/03/2013,apricots,PROPRIETARY VARIETIES,N/A,1.5416666666666667,1.3333333333333333,1.4027777777777777,Nonorganic
