Date,Crop,Variety,Grade,High Price,Low Price,Average,Type
10/09/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/10/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/11/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/12/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/15/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/16/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/17/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/18/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/19/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/22/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/23/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/24/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/25/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/26/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
10/31/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/01/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/02/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/05/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/06/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/07/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/08/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/09/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/13/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/14/2012,lettuce,BOSTON,N/A,6.666666666666667,4.333333333333333,5.166666666666667,Nonorganic
11/15/2012,lettuce,BOSTON,N/A,6.0,4.333333333333333,5.033333333333333,Nonorganic
