"DEEP ROOT REVOLUTION, LLC",7079638788,jenniferdb@deeprootrevolution.com,1192 Maple Lane,Calistoga,CA,94515,Irrigation,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAJYAAACWCAMAAAAL34HQAAAAYFBMVEX///+Zm2yYmmvv7+j4+PXP0LrX18WgonX7+/mqrIWur4qbnW+WmGj29vLr6+Kgonfm5tve3s/JyrHAwaXZ2sixso/g4dPS07/j49e/wKO6u5ykpn21tpWqq4XFxqyztZIjHWjQAAAKzElEQVR4nO2c65ajqhKAA3hB8R4TE03M+7/loQCViz37tGDP/Gh277Wm6QS/VBVVBRS5XA43kmK0NJzIvljrSsnxsT3aL9Yv1i/WX8Vq6HewaPVDVK/oO1jR+CNc0Sv7HtZ7jM6noh37JlbGhvOxHjX+LhaeTldjecPfx0Jnq5Gr8AAWZvG5WFyFR6SFp+ZMKq5C/rwDWPh1ohpph45inTkbQYUHsU6cjeUHH8SCX0+bjTGTDziGxZJzqKpJPvMgFs5OySiiUT3yGBZvV3oCVs+wj7T4HE7v4alIjn2lhW9lcKx5e95hrPAxqJn8sXgMCmz1q717YSE8h7X6NkVBsOpHSCoRov1ti/8EDdkDHxL7Y/F/sD4cFclwCGlBxMZ5OCfRMYRCYAlFBstwSKZT+WEh/A4lrg4h4wP7YYUSF88czIG9sFCoTKJDGIeTFp+MQcRFJhwUiydeIawrRlbzxkIB8tTyjS0leGOF8F0JC4zFG2t9qaIbRsGx8OibSDyYO6gvFsap76LxWoTH4n/r/KjIZFtWGCzPCJQwZ8ggWMxrEURHd8gQJo/R1QeLTIex8J+khfw8fe9aFhjG/4dVb7uBjrQw80nqrzsjIvRSxwWLGLCLBWFUmTV9IcfzYVx4zMXdD4ryxem0k9xY0rEKiQD7kotVVzmywfifP8c9Kqntz8lbvrnCVrgP+EmVTtpUkW5UfOmbu5aApuPG1TqDYZ1KcIneelnP0CFF2KJS8kKm5D2MK7Z0iC0qyYU3KuCqoWcy/VKTCVhjsOPZzdMx1dwOZsBV62s/Ia/J9pZcXvZY81Eq+rIty6ECrtpckXJ5bVSrXXP7slYEz6NYPKnRPJOhwapbLfZuJ080WanIvL3Dktfx5Ka0Fp65/ozRmUmR85xy1N4D8tLI8CsIlkWFHa7yOlvbHmQ03mX6ieNYoMQNzKTi4cPkKq+MmVzkZX2aRtfjcSXSz4rlyAoMWOcqnzznN7g4Fd7jwt5Ya1pjUilYjJ7ryFxWGJ64cUWjmikI7+rx+ExUfgvvaFAwbJ5ByEqcOK1c0q+K8GfZF/b0W5e52JeVkJbm20FWUmOavLhfXU1A48oWLR5f8g+7dqWis00lJWvJS8XtnfnosVa8s31ZAUFqUC3bFNjkStXL9ail/Co7fh5b1WZ0lnYlzLi2qLZggNjV4rJivJSXxxZ9meGdOQhUm6yip50a7OnRlteaeR9p4LjcObgjKzPaOXq0ucB/HfcPl0tnUIn8zrL2J7OgpAMw/YSyOmMsn+Of1pQ8sucgHMjuLo62Q6dNj8iwL5+VT7napdKg6a94hLmJKeDIK9/mmcgLnflIgpxmgLUjW4OKC1lbTdigWuWFd3Jub6odL7py2VgmlW73u/mtB9XqLm0qyWUq8W17SiEv6e4Dcq3R2ZiDq9mRjwrdSAWalao0/Bey45AvlXLtpr/anq7sXtlVtvV/HP+FgulRRRxkUTFNV0Rbi+i0yPL3MkIE4VrioLFKlb490wnkdggy+nbittSj//FKu+wH2lSGbZOPEoQlQSc+CqnW/tVcy3nwXn6FbT2av8tU3rYv/r/3/vdFnBcgNw4qzeryMmWFlhTQtS+/jdOFQkxEO+tT08CQl21ri70Z8kKhjtET9kWGLCaWxrUFPNPDmnYfqtQmeuH9DFmSOT5dlOOYft/gCmFZ0O7Zn7I+J9aABq3EUJdXFir6bDXc5dXJkB15uTHS1GP4GkFzNbFwYUNeMAedHVdrH+AEKlsOWOySbM+8ulBSj9eTuNa1s/1EI7/S4+MXegxL9dyRlZuLSttyzUv3XyGpbM+wyipzZiK2p6LS4wlcdpHGrgYXLuc4Ra4Uzyjx7NMdKqRnMl95eaVEd1s8SEtSZ8vfjM5m3DbIQP2T93n+btMT3x1Z3bCd15hYJ1Hxlpj25WZ9hrz0wIlwdhoVREdtk9fKkOUZ4v66g/8haK2i3Zp8LSG2ZCUfb8lLTkAeBl4n310hV1WvYcpqXT048gLadA5fNWy1KFGFU26GjJw8Wir73Z9R+m23amTWyguvu9r2ugNE9fyhm3e0zVnurHFWT2D4CXa7/4SoZCuT3RW10qMur/YHrrXtNCePEVZuR++/QeVEP0Nef6UNec0Ky7a4m6rz4ecsaq9FVT+P2SThAGjKx64NszPq2WhJqqbt+769NxVxz4Z/22/7bb/t9BaV/4I7dFo8eVbRntO6wuds9LT2z2J5FdGe1f4CVtO37X/F+J/HonmxVPV+3X4eCwrg//O7SYJgleWqFFqWThZm9jXsa6yoGbpuaCINS3QllT4maeMubpdlMqmiS/SIu65fXhTxXwZK5vd0E8+hzZy/p/dr0J5KH/PtnWWj6mvmkSHEnvM8u2uAxysteEs/9xULuhAq6us6ZBRnqOD/ZYmgoLf08fgw/jZcP+U+QzkVxdTAgkjUWpMnz6fl/la8fDryrLHqEzn/UKgTS1zYR+F0mNi76/v4xtIJCyyaTOyVPB7xez2YLEc2zW3Tj4x1MCDN2ZW/KO6HsVZ7ReWEEYOdHQzFcGsFDN72Tqts6eOag2GGYtnccbCSOpW1pFHP3yWw2roexEDkhV7ib/SqTnRpUos7+DTniy85s7mApofC4muNKZv4I0pRUZvexgw2hGUtSfmBRVv9UX3D5dJPUNPNat6sXbBqkh9f/DsXSizztSSFZPKLAHq2fn9CjN5EYL2XHr5mhOtOgIVYR0S8H2C74vOIaDlAt3h3DFSfBvqgEGsil4jw16G6IcReMs36KZ+0rZ5tl6oGUSYaffBaOlfmqBf+Ziuma2q42QpYhbqoXEK5kDp7gvM/uEgD1VdYGcXA+xB8djh63vFb5Vu/Kyuw6FOrGiI1lIFVqfbWrpgF1iZ2OoI5Cax+AeUqVKOI+1W3CC40rVcnxREqfOAvsKpUrz4TWOUbde3SuOXxqdviqV+7ZrggYGBderj5oWMlnKBelAyXQvlTBqzdiuoKeS/wC6w7yjStSizueIutIY6VFHpPcbOxGsYfq2MN0nYUI5x4Ez442uJMrH75CgvvYLE51loJWJPe015cLFNaIJkVC+oy+S/xN7Aq5ioxc+4ltCi3YoijxMjAglsT6zn+E/YQy0uPthsP3H7lbUXA2gk+XDSOyY9OoZxh8jtYT0gfdSwybSXGcGcczqkrqN5VM7WaVBVxy9BeBkGv2ndI0KtwEInmIOQ1Ae4gNlJKbayqhhpXHQuqonEq4lT5BD/fizsLUBcj+qBoWtTF3jnWXiUq517daVsLL19mW1c1ClUkbPtWoeFaCnf6WqP2R/g+HQu++YaL4Xqv+g+4dPHR71DUUs8P6OPCFP6yggsvz8a5qXCJmdo9j7g/lrl8z+pYRbGPdPjRiNVeLu1r5eVx/qDyNbIWyMAS9+p5hJHluvIz0U4eIaRy/1f4ikjUKNTMuVpGuxRlcwKh+vaSWDRO2WtomnaeUhVlyUeE6kcypuIYjubozVIVquUBiokVdemyZ4+zx9an9g3RUlGZyLrsnS9AuIsEpUifpGOqavx+YwXjP/m64V92E4IulcZwrHbIZGKjsp8yq1NtdHp/1TAsnmai94EHRFsfT2DgVWynXF2mgTydKytidD100UIauCZ9wuRLkQYSRU4r3vQ3RFXS8cSR0D/3VSoHDdFMB/HPtF+s77RfrO+0X6zvNHr9nHLo9D/f3qdUDBZBkAAAAABJRU5ErkJggg==",,,
"DEERPOINT GROUP, INC.",5598406028,jcarr@thedeerpointgroup.com,1963 Independence Drive,Madera,CA,93637,"Irrigation, Chemicals, Computer software/programs",https://deerpointgroup.com/wp-content/uploads/2021/08/dpg.png,,,
"DMM PACKAGING, INC.",5598977374,alexm@dmmpkg.com,2467 Simpson Street,Kingsburg,CA,93631,"Packaging, Processing Equipment",http://dmmpkg.com/wp-content/uploads/2019/11/DMM-VECTOR-LOGO-350px.png,,,
DOUGLAS PRODUCTS,9496488335,justin.bruecker@douglasproducts.com,19573 Fairlane Court,Chowchilla,CA,19573,"Chemicals, Water treatment",https://douglasproducts.com/wp-content/themes/douglas-theme/images/logo-dp.svg,,,
DUARTE NURSERY,2095310351,marketing@duartenursery.com,1555 Baldwin Road,Hughson,CA,95326,Nurseries,https://secureservercdn.net/198.71.233.109/xhs.2f3.myftpupload.com/wp-content/uploads/2020/10/blue-duarte-logo-2.png,,,
EXACT CORPORATION,2096044300,jbayer@exactcorp.com,5143 Blue Gum Avenue,Modesto,CA,95358,"Orchard Equipment and Services, Custom Harvesters",https://882426.smushcdn.com/1061324/wp-content/uploads/2020/09/exact-bolt-nut-logo.png?size=952x317&lossy=0&strip=1&webp=1,,,
FARM CREDIT,7756777876,sadlerassociates@sbcglobal.net,3755 Atherton Road,Rocklin,CA,95765,Financial Assistance,https://farmcredit.com/sites/default/files/FCC---Header-Logo_sm_0.png,,,
"FBSCIENCES, INC.",2097659297,mvisser@fbsciences.com,153 N Main,Collierville,TN,38017,Chemicals,https://fbsciences.com/wp-content/uploads/2019/11/FBS_Logo_noic.svg,,,
FIELDIN,5596818803,hsisk@Ëœeldintech.com,2600 Ventura Street,Fresno,CA,93721,"Professional organization and services, Computer software/programs",https://www.fieldin.com/wp-content/uploads/2019/07/logo-header-1.svg,,,
FIRMAN POLLEN COMPANY,5094528063,ryan@Ëœrmanpollen.com,301 N First Avenue,Yakima,WA,98902,"Beekeepers, Crop production inputs",https://firmanpollen.com/wp-content/uploads/NEWFirman-Pollen-Logo-185px.png,,,
